[[ 1.65675138e+00  1.04948187e-01]
 [ 3.03584143e+01  3.91500403e+01]
 [ 3.21356521e+01  3.90378759e+01]
 [ 2.89209884e+01  4.24137816e+01]
 [ 3.00260830e+01  4.17305617e+01]
 [ 3.04510136e+01  4.49032586e+01]
 [ 2.95811763e+01  4.24313982e+01]
 [ 2.96440160e+01  4.35390540e+01]
 [ 3.06212328e+01  4.51098151e+01]
 [ 2.87261643e+01  4.93965645e+01]
 [ 2.84620823e+01  4.69884386e+01]
 [ 2.76665447e+01  4.83550231e+01]
 [ 2.64088226e+01  5.00402354e+01]
 [ 2.60009509e+01  4.99092635e+01]
 [ 2.73745078e+01  5.17422644e+01]
 [ 2.51744186e+01  5.36429596e+01]
 [ 2.44297688e+01  5.36944534e+01]
 [ 2.46263408e+01  5.37056374e+01]
 [ 2.37992171e+01  5.43264148e+01]
 [ 2.28617888e+01  5.43086215e+01]
 [ 2.37359285e+01  5.59742299e+01]
 [ 2.10613192e+01  5.44697836e+01]
 [ 1.99362149e+01  5.55922207e+01]
 [ 1.89248947e+01  5.95943700e+01]
 [ 2.08342531e+01  5.73791437e+01]
 [ 1.91706412e+01  5.78478238e+01]
 [ 1.90643754e+01  6.06721042e+01]
 [ 1.66449383e+01  5.89089601e+01]
 [ 1.45380620e+01  5.97182591e+01]
 [ 1.46999033e+01  5.79719365e+01]
 [ 1.32888058e+01  5.95700788e+01]
 [ 1.19378036e+01  6.05410728e+01]
 [ 1.24467047e+01  6.19756606e+01]
 [ 1.19472189e+01  6.34839459e+01]
 [ 9.55383648e+00  6.12525432e+01]
 [ 7.97375785e+00  6.38732287e+01]
 [ 8.60902744e+00  6.33786593e+01]
 [ 7.82425846e+00  6.49511839e+01]
 [ 5.21346203e+00  6.36928418e+01]
 [ 3.84921726e+00  6.28972740e+01]
 [ 1.28649773e+00  6.25691212e+01]
 [ 4.38255701e+00  6.39084129e+01]
 [ 6.05261996e-01  6.27014136e+01]
 [ 1.91585608e+00  6.35914084e+01]
 [-2.00627125e-01  6.48160529e+01]
 [-2.26568861e+00  6.14984227e+01]
 [-4.40656164e+00  6.20588956e+01]
 [-1.87009248e+00  6.30700783e+01]
 [-2.68132534e+00  6.27047517e+01]
 [-4.05327501e+00  6.23835748e+01]
 [-6.33066289e+00  6.34384427e+01]
 [-6.67798664e+00  6.23706630e+01]
 [-9.40737593e+00  6.24127549e+01]
 [-9.65092565e+00  6.18668943e+01]
 [-1.04287471e+01  6.26161157e+01]
 [-1.07678602e+01  6.14271722e+01]
 [-1.36855240e+01  6.18776627e+01]
 [-1.18655111e+01  6.08816330e+01]
 [-1.34099618e+01  6.09226671e+01]
 [-1.46257627e+01  6.01956803e+01]
 [-1.59809481e+01  6.08558662e+01]
 [-1.71217478e+01  6.03804033e+01]
 [-1.80249498e+01  5.73039388e+01]
 [-1.91601118e+01  5.94260940e+01]
 [-1.86752358e+01  5.70346305e+01]
 [-1.91768897e+01  5.54040493e+01]
 [-2.12091201e+01  5.65726918e+01]
 [-2.02542279e+01  5.47280111e+01]
 [-2.26843376e+01  5.44443591e+01]
 [-2.05577604e+01  5.36687238e+01]
 [-2.35452896e+01  5.33807147e+01]
 [-2.30444170e+01  5.43033589e+01]
 [-2.38508854e+01  4.89932857e+01]
 [-2.62735028e+01  5.17075148e+01]
 [-2.59187565e+01  4.91499091e+01]
 [-2.78544378e+01  4.90641261e+01]
 [-2.60429068e+01  4.80189038e+01]
 [-2.98641348e+01  4.77297437e+01]
 [-2.72329526e+01  4.80114908e+01]
 [-2.95599484e+01  4.54259921e+01]
 [-2.79686844e+01  4.64192634e+01]
 [-3.00006191e+01  4.39169761e+01]
 [-2.90473775e+01  4.20578877e+01]
 [-2.92525328e+01  4.32953464e+01]
 [-2.99973659e+01  3.99216788e+01]
 [-2.98822389e+01  4.03811319e+01]
 [-2.98443892e+01  4.05971641e+01]
 [-3.05951280e+01  3.75987948e+01]
 [-3.09662447e+01  3.64639405e+01]
 [-3.14741481e+01  3.68087964e+01]
 [-3.28553231e+01  3.56517734e+01]
 [-3.33028751e+01  3.25899479e+01]
 [-3.19274037e+01  3.28136732e+01]
 [-3.11367285e+01  3.25380345e+01]
 [-3.20790195e+01  3.20096591e+01]
 [-3.33351767e+01  2.92925312e+01]
 [-3.25463247e+01  2.97541572e+01]
 [-3.10791733e+01  2.76652961e+01]
 [-3.09268376e+01  2.73216795e+01]
 [-2.99867815e+01  2.40676400e+01]
 [-3.00663590e+01  2.47275701e+01]
 [-3.11609300e+01  2.39004819e+01]
 [-3.15261475e+01  2.32165646e+01]
 [-3.08837662e+01  2.13913381e+01]
 [-2.90953258e+01  2.20107937e+01]
 [-2.78848445e+01  2.14814415e+01]
 [-2.92680284e+01  1.80211692e+01]
 [-2.74094665e+01  2.06610128e+01]
 [-2.77581956e+01  1.72194696e+01]
 [-2.82500251e+01  1.60742218e+01]
 [-2.70808624e+01  1.60999376e+01]
 [-2.49393297e+01  1.50348503e+01]
 [-2.61340256e+01  1.42598926e+01]
 [-2.41711021e+01  1.34911433e+01]
 [-2.50786651e+01  1.23983155e+01]
 [-2.51265467e+01  1.24741003e+01]
 [-2.35450690e+01  1.28085804e+01]
 [-2.33245295e+01  1.08307420e+01]
 [-2.27512700e+01  1.29657799e+01]
 [-2.19495118e+01  8.67005543e+00]
 [-2.01463580e+01  8.73472883e+00]
 [-2.02783466e+01  6.75866449e+00]
 [-1.95539724e+01  7.78320682e+00]
 [-1.71327642e+01  6.03481605e+00]
 [-1.79274492e+01  4.91702795e+00]
 [-1.66799288e+01  4.25954341e+00]
 [-1.59767195e+01  4.55962446e+00]
 [-1.68964556e+01  3.41140403e+00]
 [-1.35236069e+01  5.65302251e+00]
 [-1.45116400e+01  2.32064238e+00]
 [-1.37265394e+01  1.57080151e+00]
 [-1.19652761e+01  4.95403080e+00]
 [-1.04431784e+01  1.35360930e+00]
 [-1.05608754e+01  7.35815250e-01]
 [-7.83078036e+00  3.24566785e+00]
 [-6.70806125e+00  6.11820826e-01]
 [-7.45474373e+00  3.95807547e-01]
 [-5.81751912e+00 -1.08674704e+00]
 [-5.93332975e+00 -7.91406401e-01]
 [-5.15650899e+00 -1.42411567e+00]
 [-4.27069247e+00  4.87129565e-01]
 [-1.01172003e+00  1.10913476e+00]
 [-2.39369659e+00 -1.17983336e-03]
 [ 3.73882500e-01  1.02578216e-02]]
